id,source,amount,transaction_date,description,reference,account_number,counterparty,status
TB_00001,totalbank,44935.95,2025-10-27T17:21:24.230948,PAGAMENTO FORNECEDOR,REF94787,12345-6,EMPRESA_4,pending
TB_00002,totalbank,38170.19,2025-11-07T17:21:24.230948,COMPENSACAO CHEQUE,REF99444,12345-6,EMPRESA_1,pending
TB_00003,totalbank,7701.83,2025-10-29T17:21:24.230948,TAXAS BANCARIAS,REF69200,12345-6,EMPRESA_4,pending
TB_00004,totalbank,26856.49,2025-11-11T17:21:24.230948,PAGAMENTO FATURA,REF44438,12345-6,EMPRESA_2,pending
TB_00005,totalbank,16223.26,2025-10-20T17:21:24.230948,TAXAS BANCARIAS,REF15812,12345-6,EMPRESA_9,pending
TB_00006,totalbank,21400.67,2025-10-24T17:21:24.230948,DEPOSITO DE CHEQUE,REF50632,12345-6,EMPRESA_5,pending
TB_00007,totalbank,48382.65,2025-11-11T17:21:24.230948,TRANSFERENCIA SAIDA,REF45640,12345-6,EMPRESA_5,pending
TB_00008,totalbank,33992.93,2025-10-27T17:21:24.230948,DEPOSITO DE CHEQUE,REF28277,12345-6,EMPRESA_8,pending
TB_00009,totalbank,13630.27,2025-11-08T17:21:24.230948,PAGAMENTO FORNECEDOR,REF60239,12345-6,EMPRESA_9,pending
TB_00010,totalbank,36136.23,2025-10-24T17:21:24.230948,BOLETO ENTRADA,REF29064,12345-6,EMPRESA_1,pending
TB_00011,totalbank,46031.52,2025-11-11T17:21:24.230948,PAGAMENTO FATURA,REF24222,12345-6,EMPRESA_5,pending
TB_00012,totalbank,37378.83,2025-11-13T17:21:24.230948,JUROS CREDITOS,REF48832,12345-6,EMPRESA_10,pending
TB_00013,totalbank,2235.4,2025-10-21T17:21:24.230948,TRANSFERENCIA SAIDA,REF40122,12345-6,EMPRESA_5,pending
TB_00014,totalbank,12308.02,2025-11-12T17:21:24.230948,COMPENSACAO CHEQUE,REF22953,12345-6,EMPRESA_5,pending
TB_00015,totalbank,4538.21,2025-11-03T17:21:24.230948,TRANSFERENCIA SAIDA,REF83534,12345-6,EMPRESA_7,pending
TB_00016,totalbank,29095.55,2025-11-09T17:21:24.230948,DEPOSITO DE CHEQUE,REF69993,12345-6,EMPRESA_9,pending
TB_00017,totalbank,32742.33,2025-10-26T17:21:24.230948,DEPOSITO DE CHEQUE,REF55664,12345-6,EMPRESA_9,pending
TB_00018,totalbank,37713.55,2025-10-21T17:21:24.230948,DEVOLUCAO CLIENTE,REF78306,12345-6,EMPRESA_8,pending
TB_00019,totalbank,29346.73,2025-10-30T17:21:24.230948,JUROS CREDITOS,REF84940,12345-6,EMPRESA_5,pending
TB_00020,totalbank,4577.07,2025-11-09T17:21:24.230948,BOLETO ENTRADA,REF71629,12345-6,EMPRESA_3,pending
TB_00021,totalbank,18533.62,2025-10-28T17:21:24.230948,PAGAMENTO FORNECEDOR,REF62353,12345-6,EMPRESA_9,pending
TB_00022,totalbank,1819.34,2025-10-20T17:21:24.230948,TRANSFERENCIA SAIDA,REF36527,12345-6,EMPRESA_7,pending
TB_00023,totalbank,44330.71,2025-11-02T17:21:24.230948,TRANSFERENCIA SAIDA,REF94488,12345-6,EMPRESA_9,pending
TB_00024,totalbank,23906.76,2025-11-01T17:21:24.230948,PAGAMENTO FATURA,REF15377,12345-6,EMPRESA_9,pending
TB_00025,totalbank,13306.83,2025-11-12T17:21:24.230948,PAGAMENTO FATURA,REF34403,12345-6,EMPRESA_8,pending
TB_00026,totalbank,37221.74,2025-10-31T17:21:24.230948,PAGAMENTO FATURA,REF54201,12345-6,EMPRESA_3,pending
TB_00027,totalbank,35382.89,2025-10-28T17:21:24.230948,TRANSFERENCIA SAIDA,REF67428,12345-6,EMPRESA_8,pending
TB_00028,totalbank,690.65,2025-10-19T17:21:24.230948,BOLETO ENTRADA,REF83717,12345-6,EMPRESA_6,pending
TB_00029,totalbank,35463.81,2025-10-31T17:21:24.230948,SAQUE CONTA,REF18387,12345-6,EMPRESA_6,pending
TB_00030,totalbank,37260.46,2025-10-31T17:21:24.230948,JUROS CREDITOS,REF64815,12345-6,EMPRESA_4,pending
TB_00031,totalbank,41812.8,2025-11-03T17:21:24.230948,TRANSFERENCIA SAIDA,REF40794,12345-6,EMPRESA_5,pending
